,name,gender,race
1110,yasmin,f,indian
1111,nirvat,f,indian
1112,monika,f,indian
1113,pooja,f,indian
1114,pooja,f,indian
1115,divya,f,indian
1116,aaysha,f,indian
1117,preeti chaudhary,f,indian
1118,reena,f,indian
1119,shikha,f,indian
1120,manisha,f,indian
1121,sunita,f,indian
1122,shahna,f,indian
1123,dhapu bai,f,indian
1124,anjali,f,indian
1125,mausam,f,indian
1126,jyoti,f,indian
1127,neha,f,indian
1128,varsha,f,indian
1129,sarita devi,f,indian
1130,priya,f,indian
1131,ridhima,f,indian
1132,naraini devi,f,indian
1133,poonam,f,indian
1134,sapna,f,indian
1135,sunita,f,indian
1136,smt shasi,f,indian
1137,smt. lalita,f,indian
1138,chinki kanwar,f,indian
1139,naryani devi,f,indian
1140,sita devi,f,indian
1141,jyoti,f,indian
